name,packCount,userRatingCount,userRatingAvg,price,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Thread Count,Performance Core Clock,Performance Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
Amd Ryzen 7 9800x3d,,167,4.9,472.02,AMD,"100-1000001084WOF, AMDRyzen79800X3D, 100-100001084WOF",AMDRyzen7,Zen5,GraniteRidge,AM5,8,16,4.7GHz,5.2GHz,8MB,96MB,120W,Radeon,192GB,Yes,No,Boxed,4nm,No,Yes
Amd Ryzen 7 7800x3d,,506,5,384.99,AMD,100-100000910WOF,AMDRyzen7,Zen4,Raphael,AM5,8,16,4.2GHz,5GHz,8MB,96MB,120W,Radeon,128GB,Yes,No,Boxed,5nm,No,Yes
Amd Ryzen 5 7600x,,277,4.8,189.99,AMD,100-100000593WOF,AMDRyzen5,Zen4,Raphael,AM5,6,12,4.7GHz,5.3GHz,6MB,32MB,105W,Radeon,128GB,Yes,No,Boxed,5nm,No,Yes
Amd Ryzen 5 9600x,,25,4.8,207.99,AMD,100-100001405WOF,AMDRyzen5,Zen5,GraniteRidge,AM5,6,12,3.9GHz,5.4GHz,6MB,32MB,65W,Radeon,192GB,Yes,No,Boxed,4nm,No,Yes
Amd Ryzen 7 9700x,,50,4.9,304.70,AMD,100-100001404WOF,AMDRyzen7,Zen5,GraniteRidge,AM5,8,16,3.8GHz,5.5GHz,8MB,32MB,65W,Radeon,192GB,Yes,No,Boxed,4nm,No,Yes
Amd Ryzen 5 5600x,,687,4.9,128.00,AMD,100-100000065BOX,AMDRyzen5,Zen3,Vermeer,AM4,6,12,3.7GHz,4.6GHz,3MB,32MB,65W,None,128GB,No,Yes,Boxed,7nm,Yes,Yes
Amd Ryzen 9 9950x3d,,20,4.9,709.74,AMD,100-100000719WOF,AMDRyzen9,Zen5,GraniteRidge,AM5,16,32,4.3GHz,5.7GHz,16MB,128MB,170W,Radeon,192GB,Yes,No,Boxed,4nm,No,Yes
Amd Ryzen 7 7700x,,187,4.9,272.97,AMD,100-100000591WOF,AMDRyzen7,Zen4,Raphael,AM5,8,16,4.5GHz,5.4GHz,8MB,32MB,105W,Radeon,128GB,Yes,No,Boxed,5nm,No,Yes
Amd Ryzen 5 5500,,71,4.7,74.00,AMD,100-100000457BOX,AMDRyzen5,Zen3,Cezanne,AM4,6,12,3.6GHz,4.2GHz,3MB,16MB,65W,None,128GB,No,Yes,Boxed,7nm,Yes,Yes
Amd Ryzen 5 7600,,183,4.9,196.99,AMD,100-100001015BOX,AMDRyzen5,Zen4,Raphael,AM5,6,12,3.8GHz,5.1GHz,6MB,32MB,65W,Radeon,128GB,Yes,Yes,Boxed,5nm,Yes,Yes
Amd Ryzen 5 5600,,171,4.9,116.00,AMD,100-100000927BOX,AMDRyzen5,Zen3,Vermeer,AM4,6,12,3.5GHz,4.4GHz,3MB,32MB,65W,None,128GB,No,Yes,Boxed,7nm,Yes,Yes
Amd Ryzen 7 5800x,,354,4.8,160.54,AMD,100-100000063WOF,AMDRyzen7,Zen3,Vermeer,AM4,8,16,3.8GHz,4.7GHz,4MB,32MB,105W,None,128GB,No,No,Boxed,7nm,No,Yes
Intel Core I9-14900k,,36,4.7,417.00,tel,BX8071514900K,telCorei9,RaptorLakeRefresh,RaptorLakeRefresh,LGA1700,24,32,3.2GHz,6GHz,32MB,36MB,125W,telUHDGraphics770,192GB,Yes,No,Boxed,7nm,No,Yes:Hyper-Threadg
Intel Core I5-12400f,,99,4.9,108.99,tel,BX8071512400F,telCorei5,AlderLake,AlderLake,LGA1700,6,12,2.5GHz,4.4GHz,7.5MB,18MB,65W,None,128GB,No,Yes,Boxed,10nm,Yes,Yes:Hyper-Threadg
Amd Ryzen 7 5700x,,112,4.9,146.28,AMD,100-100000926WOF,AMDRyzen7,Zen3,Vermeer,AM4,8,16,3.4GHz,4.6GHz,4MB,32MB,65W,None,128GB,No,No,Boxed,7nm,No,Yes
Intel Core I7-14700k,,41,4.8,303.61,tel,BX8071514700K,telCorei7,RaptorLakeRefresh,RaptorLakeRefresh,LGA1700,20,28,3.4GHz,5.6GHz,28MB,33MB,125W,telUHDGraphics770,192GB,Yes,No,Boxed,7nm,No,Yes:Hyper-Threadg
Amd Ryzen 5 3600,,1175,4.9,77.98,AMD,"Ryzen53600, 100-100000031BOX",AMDRyzen5,Zen2,Matisse,AM4,6,12,3.6GHz,4.2GHz,3MB,32MB,65W,None,128GB,No,Yes,Boxed,7nm,Yes,Yes
Amd Ryzen 9 9900x,,22,5,377.95,AMD,100-100000662WOF,AMDRyzen9,Zen5,GraniteRidge,AM5,12,24,4.4GHz,5.6GHz,12MB,64MB,120W,Radeon,192GB,Yes,No,Boxed,4nm,No,Yes
Amd Ryzen 9 7900x,,95,4.9,329.99,AMD,100-100000589WOF,AMDRyzen9,Zen4,Raphael,AM5,12,24,4.7GHz,5.6GHz,12MB,64MB,170W,Radeon,128GB,Yes,No,Boxed,5nm,No,Yes
Amd Ryzen 7 5700x3d,,36,4.9,259.88,AMD,100-100001503WOF,AMDRyzen7,Zen3,Vermeer-X,AM4,8,16,3GHz,4.1GHz,4MB,96MB,105W,None,128GB,No,No,Boxed,7nm,No,Yes
Intel Core I5-14400f,,,,129.97,tel,BX8071514400F,telCorei5,RaptorLakeRefresh,RaptorLakeRefresh,LGA1700,10,16,2.5GHz,4.7GHz,9.5MB,20MB,65W,None,192GB,Yes,Yes,Boxed,7nm,Yes,Yes:Hyper-Threadg
Intel Core Ultra 7 265k,,6,4.8,283.37,tel,BX80768265K,telCoreUltra7,ArrowLake,ArrowLake,LGA1851,20,20,3.9GHz,5.5GHz,36MB,30MB,125W,telXe,256GB,Yes,No,Boxed,3nm,No,No
Intel Core I7-12700k,,149,4.9,217.77,tel,BX8071512700K,telCorei7,AlderLake,AlderLake,LGA1700,12,20,3.6GHz,5GHz,12MB,25MB,125W,telUHDGraphics770,128GB,No,No,Boxed,10nm,No,Yes:Hyper-Threadg
Amd Ryzen 7 7700,,45,5,279.95,AMD,100-100000592BOX,AMDRyzen7,Zen4,Raphael,AM5,8,16,3.6GHz,5.3GHz,8MB,32MB,65W,Radeon,128GB,Yes,Yes,Boxed,5nm,Yes,Yes
Amd Ryzen 9 9950x,,11,4.8,519.16,AMD,100-100001277WOF,AMDRyzen9,Zen5,GraniteRidge,AM5,16,32,4.3GHz,5.7GHz,16MB,64MB,170W,Radeon,192GB,Yes,No,Boxed,4nm,No,Yes
Intel Core I5-14600k,,15,4.7,164.00,tel,BX8071514600K,telCorei5,RaptorLakeRefresh,RaptorLakeRefresh,LGA1700,14,20,3.5GHz,5.3GHz,20MB,24MB,125W,telUHDGraphics770,192GB,Yes,No,Boxed,7nm,No,Yes:Hyper-Threadg
Amd Ryzen 5 7500f,,38,4.9,,AMD,100-100000597BOX,AMDRyzen5,Zen4,Raphael,AM5,6,12,3.7GHz,5GHz,6MB,32MB,65W,None,128GB,Yes,Yes,Boxed,5nm,Yes,Yes
